instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste02,50,39,588.64,588.03,0.61,0.1,9.32,345,250,94,estagnacao,0.007
Teste02,50,40,579.48,579.03,0.45,0.08,7.65,471,250,220,estagnacao,0.007
Teste02,50,41,583.32,578.72,4.6,0.79,7.59,384,250,133,estagnacao,0.007
Teste02,50,42,588.19,583.97,4.22,0.72,8.57,475,250,224,estagnacao,0.009
Teste02,50,43,559.61,557.49,2.12,0.38,3.64,296,250,45,estagnacao,0.006
Teste02,50,44,583.78,583.78,0.0,0.0,8.53,250,250,-1,estagnacao,0.005
Teste02,50,45,589.02,589.02,0.0,0.0,9.51,250,250,-1,estagnacao,0.006
Teste02,50,46,574.72,574.72,0.0,0.0,6.85,250,250,-1,estagnacao,0.006
Teste02,50,47,544.6,544.6,0.0,0.0,1.25,250,250,-1,estagnacao,0.006
Teste02,50,48,553.26,553.26,0.0,0.0,2.86,250,250,-1,estagnacao,0.007
Teste02,100,39,582.7,580.58,2.12,0.36,7.94,302,250,51,estagnacao,0.01
Teste02,100,40,579.48,579.48,0.0,0.0,7.73,250,250,-1,estagnacao,0.009
Teste02,100,41,566.63,566.63,0.0,0.0,5.34,250,250,-1,estagnacao,0.008
Teste02,100,42,588.19,580.76,7.43,1.26,7.97,308,250,57,estagnacao,0.01
Teste02,100,43,553.79,553.44,0.35,0.06,2.89,494,250,243,estagnacao,0.012
Teste02,100,44,583.78,583.78,0.0,0.0,8.53,250,250,-1,estagnacao,0.009
Teste02,100,45,588.92,578.72,10.2,1.73,7.59,335,250,84,estagnacao,0.01
Teste02,100,46,574.72,567.96,6.76,1.18,5.59,416,250,165,estagnacao,0.014
Teste02,100,47,537.89,537.89,0.0,0.0,0.0,250,250,-1,estagnacao,0.008
Teste02,100,48,553.26,553.26,0.0,0.0,2.86,250,250,-1,estagnacao,0.009
Teste03,50,39,527.75,517.52,10.23,1.94,-0.01,850,350,499,estagnacao,0.017
Teste03,50,40,527.34,517.52,9.82,1.86,-0.01,558,350,207,estagnacao,0.012
Teste03,50,41,539.66,531.65,8.01,1.48,2.72,389,350,38,estagnacao,0.01
Teste03,50,42,562.3,558.1,4.2,0.75,7.83,370,350,19,estagnacao,0.009
Teste03,50,43,530.97,530.97,0.0,0.0,2.59,350,350,-1,estagnacao,0.008
Teste03,50,44,527.34,517.58,9.76,1.85,0.0,583,350,232,estagnacao,0.011
Teste03,50,45,535.97,517.58,18.39,3.43,0.0,447,350,96,estagnacao,0.01
Teste03,50,46,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.008
Teste03,50,47,562.93,562.3,0.63,0.11,8.64,395,350,44,estagnacao,0.01
Teste03,50,48,527.34,527.34,0.0,0.0,1.89,350,350,-1,estagnacao,0.009
Teste03,100,39,527.75,527.75,0.0,0.0,1.96,350,350,-1,estagnacao,0.015
Teste03,100,40,527.34,527.34,0.0,0.0,1.89,350,350,-1,estagnacao,0.013
Teste03,100,41,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.014
Teste03,100,42,527.07,527.07,0.0,0.0,1.83,350,350,-1,estagnacao,0.013
Teste03,100,43,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.013
Teste03,100,44,527.34,517.58,9.76,1.85,0.0,441,350,90,estagnacao,0.016
Teste03,100,45,517.58,517.58,0.0,0.0,0.0,350,350,-1,estagnacao,0.017
Teste03,100,46,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.014
Teste03,100,47,527.34,517.58,9.76,1.85,0.0,667,350,316,estagnacao,0.02
Teste03,100,48,527.07,517.58,9.49,1.8,0.0,670,350,319,estagnacao,0.018
Teste04,50,39,1246.48,1217.17,29.31,2.35,4.68,415,250,164,estagnacao,0.014
Teste04,50,40,1277.28,1223.53,53.75,4.21,5.22,608,250,357,estagnacao,0.019
Teste04,50,41,1291.1,1210.57,80.53,6.24,4.11,806,250,555,estagnacao,0.022
Teste04,50,42,1225.35,1225.35,0.0,0.0,5.38,250,250,-1,estagnacao,0.01
Teste04,50,43,1231.92,1231.92,0.0,0.0,5.94,250,250,-1,estagnacao,0.01
Teste04,50,44,1221.06,1221.06,0.0,0.0,5.01,250,250,-1,estagnacao,0.01
Teste04,50,45,1269.96,1215.54,54.42,4.29,4.54,695,250,444,estagnacao,0.022
Teste04,50,46,1222.98,1222.98,0.0,0.0,5.18,250,250,-1,estagnacao,0.014
Teste04,50,47,1259.52,1224.19,35.33,2.81,5.28,295,250,44,estagnacao,0.011
Teste04,50,48,1262.92,1208.76,54.16,4.29,3.95,652,250,401,estagnacao,0.018
Teste04,100,39,1222.15,1213.98,8.17,0.67,4.4,495,250,244,estagnacao,0.022
Teste04,100,40,1273.55,1208.2,65.35,5.13,3.9,687,250,436,estagnacao,0.024
Teste04,100,41,1242.02,1210.57,31.45,2.53,4.11,1226,250,975,estagnacao,0.039
Teste04,100,42,1225.35,1225.35,0.0,0.0,5.38,250,250,-1,estagnacao,0.014
