instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste04,100,43,1231.92,1205.82,26.1,2.12,3.7,503,250,252,estagnacao,0.203
Teste04,100,44,1221.06,1175.09,45.97,3.76,1.06,295,250,44,estagnacao,0.113
Teste04,100,45,1213.16,1203.23,9.93,0.82,3.48,452,250,201,estagnacao,0.172
Teste04,100,46,1222.98,1203.72,19.26,1.57,3.52,340,250,89,estagnacao,0.148
Teste04,100,47,1210.85,1174.36,36.49,3.01,0.99,311,250,60,estagnacao,0.124
Teste04,100,48,1255.49,1157.08,98.41,7.84,-0.49,451,250,200,estagnacao,0.172
Teste05,50,39,1080.16,1024.84,55.32,5.12,0.46,411,350,60,estagnacao,0.216
Teste05,50,40,1092.01,1032.24,59.77,5.47,1.19,632,350,281,estagnacao,0.326
Teste05,50,41,1093.86,1034.0,59.86,5.47,1.36,601,350,250,estagnacao,0.295
Teste05,50,42,1097.54,1053.88,43.66,3.98,3.31,742,350,391,estagnacao,0.365
Teste05,50,43,1096.46,1024.02,72.44,6.61,0.38,448,350,97,estagnacao,0.193
Teste05,50,44,1080.73,1025.28,55.45,5.13,0.51,616,350,265,estagnacao,0.272
Teste05,50,45,1091.43,1036.62,54.81,5.02,1.62,959,350,608,estagnacao,0.411
Teste05,50,46,1071.94,1051.68,20.26,1.89,3.09,596,350,245,estagnacao,0.263
Teste05,50,47,1078.73,1056.82,21.91,2.03,3.6,482,350,131,estagnacao,0.192
Teste05,50,48,1081.98,1041.78,40.2,3.72,2.12,773,350,422,estagnacao,0.329
Teste05,100,39,1080.16,1029.79,50.37,4.66,0.95,664,350,313,estagnacao,0.303
Teste05,100,40,1062.6,1062.6,0.0,0.0,4.16,350,350,-1,estagnacao,0.166
Teste05,100,41,1083.23,1024.02,59.21,5.47,0.38,778,350,427,estagnacao,0.374
Teste05,100,42,1059.61,1032.26,27.35,2.58,1.19,356,350,5,estagnacao,0.182
Teste05,100,43,1087.5,1024.02,63.48,5.84,0.38,864,350,513,estagnacao,0.408
Teste05,100,44,1080.73,1029.77,50.96,4.72,0.95,771,350,420,estagnacao,0.386
Teste05,100,45,1039.29,1030.21,9.08,0.87,0.99,986,350,635,estagnacao,0.46
Teste05,100,46,1071.94,1034.17,37.77,3.52,1.38,493,350,142,estagnacao,0.22
Teste05,100,47,1078.73,1017.31,61.42,5.69,-0.28,641,350,290,estagnacao,0.294
Teste05,100,48,1081.98,1050.1,31.88,2.95,2.94,906,350,555,estagnacao,0.388
Wren01,50,39,9313.0,8142.0,1171.0,12.57,3.64,286,269,16,estagnacao,0.14
Wren01,50,40,8923.0,8142.0,781.0,8.75,3.64,295,269,25,estagnacao,0.169
Wren01,50,41,8468.0,8142.0,326.0,3.85,3.64,297,269,27,estagnacao,0.183
Wren01,50,42,8707.0,8142.0,565.0,6.49,3.64,299,269,29,estagnacao,0.148
Wren01,50,43,9177.0,8142.0,1035.0,11.28,3.64,278,269,8,estagnacao,0.164
Wren01,50,44,9263.0,8142.0,1121.0,12.1,3.64,317,269,47,estagnacao,0.158
Wren01,50,45,9248.0,8142.0,1106.0,11.96,3.64,313,269,43,estagnacao,0.168
Wren01,50,46,8802.0,8142.0,660.0,7.5,3.64,272,269,2,estagnacao,0.154
Wren01,50,47,9213.0,8142.0,1071.0,11.62,3.64,301,269,31,estagnacao,0.171
Wren01,50,48,9183.0,8142.0,1041.0,11.34,3.64,272,269,2,estagnacao,0.184
Wren01,100,39,9239.0,8142.0,1097.0,11.87,3.64,270,269,0,estagnacao,0.19
Wren01,100,40,8923.0,8142.0,781.0,8.75,3.64,275,269,5,estagnacao,0.169
Wren01,100,41,8468.0,8142.0,326.0,3.85,3.64,270,269,0,estagnacao,0.158
Wren01,100,42,8707.0,8142.0,565.0,6.49,3.64,278,269,8,estagnacao,0.212
Wren01,100,43,8930.0,7966.0,964.0,10.8,1.4,357,269,87,estagnacao,0.202
Wren01,100,44,8975.0,8142.0,833.0,9.28,3.64,310,269,40,estagnacao,0.192
Wren01,100,45,9248.0,8142.0,1106.0,11.96,3.64,275,269,5,estagnacao,0.195
Wren01,100,46,8802.0,8142.0,660.0,7.5,3.64,281,269,11,estagnacao,0.175
Wren01,100,47,9119.0,8142.0,977.0,10.71,3.64,271,269,1,estagnacao,0.238
Wren01,100,48,9163.0,8142.0,1021.0,11.14,3.64,270,269,0,estagnacao,0.159
Wren02,50,39,14810.0,13760.0,1050.0,7.09,-1.06,2000,743,1256,max_geracoes,7.474
Wren02,50,40,14700.0,13797.0,903.0,6.14,-0.8,2000,364,1635,max_geracoes,7.875
Wren02,50,41,14941.0,13724.0,1217.0,8.15,-1.32,2000,90,1909,max_geracoes,7.366
Wren02,50,42,14756.0,13732.0,1024.0,6.94,-1.27,2000,1369,630,max_geracoes,7.667
Wren02,50,43,14896.0,13706.0,1190.0,7.99,-1.45,2000,206,1793,max_geracoes,7.512
Wren02,50,44,14737.0,13737.0,1000.0,6.79,-1.23,2000,1276,723,max_geracoes,7.394
Wren02,50,45,14594.0,13705.0,889.0,6.09,-1.46,2000,159,1840,max_geracoes,7.194
