instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste04,50,48,1262.92,1157.08,105.84,8.38,-0.49,1089,250,838,estagnacao,0.032
Teste04,100,39,1222.15,1222.15,0.0,0.0,5.1,250,250,-1,estagnacao,0.016
Teste04,100,40,1273.55,1273.55,0.0,0.0,9.52,250,250,-1,estagnacao,0.015
Teste04,100,41,1242.02,1242.02,0.0,0.0,6.81,250,250,-1,estagnacao,0.018
Teste04,100,42,1225.35,1225.35,0.0,0.0,5.38,250,250,-1,estagnacao,0.017
Teste04,100,43,1231.92,1162.8,69.12,5.61,0.0,699,250,448,estagnacao,0.025
Teste04,100,44,1266.14,1266.14,0.0,0.0,8.89,250,250,-1,estagnacao,0.016
Teste04,100,45,1213.16,1213.16,0.0,0.0,4.33,250,250,-1,estagnacao,0.015
Teste04,100,46,1222.98,1222.98,0.0,0.0,5.18,250,250,-1,estagnacao,0.016
Teste04,100,47,1210.85,1210.85,0.0,0.0,4.13,250,250,-1,estagnacao,0.021
Teste04,100,48,1255.49,1210.08,45.41,3.62,4.07,513,250,262,estagnacao,0.024
Teste05,50,39,1080.16,1066.11,14.05,1.3,4.51,600,350,249,estagnacao,0.021
Teste05,50,40,1092.01,1088.37,3.64,0.33,6.69,413,350,62,estagnacao,0.019
Teste05,50,41,1093.86,1052.16,41.7,3.81,3.14,545,350,194,estagnacao,0.023
Teste05,50,42,1097.54,1097.54,0.0,0.0,7.59,350,350,-1,estagnacao,0.015
Teste05,50,43,1096.46,1075.81,20.65,1.88,5.46,674,350,323,estagnacao,0.022
Teste05,50,44,1093.61,1038.72,54.89,5.02,1.82,625,350,274,estagnacao,0.033
Teste05,50,45,1091.43,1078.7,12.73,1.17,5.74,563,350,212,estagnacao,0.036
Teste05,50,46,1071.94,1071.94,0.0,0.0,5.08,350,350,-1,estagnacao,0.015
Teste05,50,47,1078.73,1078.73,0.0,0.0,5.75,350,350,-1,estagnacao,0.014
Teste05,50,48,1100.03,1075.9,24.13,2.19,5.47,718,350,367,estagnacao,0.024
Teste05,100,39,1080.16,1066.04,14.12,1.31,4.5,640,350,289,estagnacao,0.028
Teste05,100,40,1062.6,1062.6,0.0,0.0,4.16,350,350,-1,estagnacao,0.02
Teste05,100,41,1083.23,1083.23,0.0,0.0,6.19,350,350,-1,estagnacao,0.022
Teste05,100,42,1059.61,1059.61,0.0,0.0,3.87,350,350,-1,estagnacao,0.022
Teste05,100,43,1087.5,1082.15,5.35,0.49,6.08,374,350,23,estagnacao,0.022
Teste05,100,44,1081.7,1081.7,0.0,0.0,6.04,350,350,-1,estagnacao,0.022
Teste05,100,45,1039.29,1039.29,0.0,0.0,1.88,350,350,-1,estagnacao,0.024
Teste05,100,46,1071.94,1071.94,0.0,0.0,5.08,350,350,-1,estagnacao,0.023
Teste05,100,47,1078.73,1073.43,5.3,0.49,5.23,455,350,104,estagnacao,0.029
Teste05,100,48,1100.03,1081.98,18.05,1.64,6.06,665,350,314,estagnacao,0.035
Wren01,50,39,9313.0,8597.0,716.0,7.69,9.43,657,269,387,estagnacao,0.088
Wren01,50,40,9448.0,8720.0,728.0,7.71,11.0,952,269,682,estagnacao,0.069
Wren01,50,41,9800.0,8377.0,1423.0,14.52,6.63,904,269,634,estagnacao,0.079
Wren01,50,42,9285.0,8772.0,513.0,5.53,11.66,453,269,183,estagnacao,0.041
Wren01,50,43,9255.0,8815.0,440.0,4.75,12.21,321,269,51,estagnacao,0.034
Wren01,50,44,9763.0,8905.0,858.0,8.79,13.35,669,269,399,estagnacao,0.095
Wren01,50,45,9642.0,9050.0,592.0,6.14,15.2,569,269,299,estagnacao,0.046
Wren01,50,46,9314.0,8679.0,635.0,6.82,10.48,565,269,295,estagnacao,0.059
Wren01,50,47,9279.0,9105.0,174.0,1.88,15.9,506,269,236,estagnacao,0.042
Wren01,50,48,9344.0,8239.0,1105.0,11.83,4.88,1147,269,877,estagnacao,0.088
Wren01,100,39,9283.0,8635.0,648.0,6.98,9.92,1237,269,967,estagnacao,0.115
Wren01,100,40,8960.0,8788.0,172.0,1.92,11.86,397,269,127,estagnacao,0.06
Wren01,100,41,9360.0,8817.0,543.0,5.8,12.23,456,269,186,estagnacao,0.095
Wren01,100,42,9083.0,8775.0,308.0,3.39,11.7,495,269,225,estagnacao,0.065
Wren01,100,43,9255.0,9125.0,130.0,1.4,16.15,522,269,252,estagnacao,0.074
Wren01,100,44,9319.0,8646.0,673.0,7.22,10.06,803,269,533,estagnacao,0.08
Wren01,100,45,9642.0,8727.0,915.0,9.49,11.09,773,269,503,estagnacao,0.09
Wren01,100,46,9314.0,8798.0,516.0,5.54,11.99,637,269,367,estagnacao,0.086
Wren01,100,47,9279.0,9046.0,233.0,2.51,15.15,447,269,177,estagnacao,0.079
Wren01,100,48,9334.0,8726.0,608.0,6.51,11.07,622,269,352,estagnacao,0.083
Wren02,50,39,14810.0,14580.0,230.0,1.55,4.83,2000,172,1827,max_geracoes,0.368
Wren02,50,40,14700.0,14507.0,193.0,1.31,4.31,2000,773,1226,max_geracoes,0.373
Wren02,50,41,14941.0,14336.0,605.0,4.05,3.08,2000,1236,763,max_geracoes,0.487
Wren02,50,42,14756.0,14658.0,98.0,0.66,5.39,2000,1458,541,max_geracoes,0.475
Wren02,50,43,14896.0,14219.0,677.0,4.54,2.24,2000,156,1843,max_geracoes,0.377
