instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste02,50,43,559.61,559.61,0.0,0.0,4.04,300,300,-1,estagnacao,0.05
Teste02,50,44,583.78,577.25,6.53,1.12,7.32,402,300,101,estagnacao,0.07
Teste02,50,45,589.02,577.25,11.77,2.0,7.32,594,300,293,estagnacao,0.098
Teste02,50,46,574.72,567.96,6.76,1.18,5.59,618,300,317,estagnacao,0.094
Teste02,50,47,544.6,544.6,0.0,0.0,1.25,300,300,-1,estagnacao,0.052
Teste02,50,48,553.26,553.26,0.0,0.0,2.86,300,300,-1,estagnacao,0.049
Teste02,100,39,582.7,577.25,5.45,0.94,7.32,558,300,257,estagnacao,0.103
Teste02,100,40,579.48,548.99,30.49,5.26,2.06,514,300,213,estagnacao,0.096
Teste02,100,41,566.63,566.63,0.0,0.0,5.34,300,300,-1,estagnacao,0.058
Teste02,100,42,588.19,548.99,39.2,6.66,2.06,347,300,46,estagnacao,0.063
Teste02,100,43,553.79,537.89,15.9,2.87,0.0,514,300,213,estagnacao,0.086
Teste02,100,44,583.78,569.01,14.77,2.53,5.79,426,300,125,estagnacao,0.07
Teste02,100,45,588.92,552.23,36.69,6.23,2.67,530,300,229,estagnacao,0.094
Teste02,100,46,574.72,567.96,6.76,1.18,5.59,542,300,241,estagnacao,0.089
Teste02,100,47,537.89,537.89,0.0,0.0,0.0,300,300,-1,estagnacao,0.054
Teste02,100,48,553.26,553.26,0.0,0.0,2.86,300,300,-1,estagnacao,0.053
Teste03,50,39,527.75,517.58,10.17,1.93,0.0,364,300,63,estagnacao,0.076
Teste03,50,40,527.34,517.58,9.76,1.85,0.0,363,300,62,estagnacao,0.082
Teste03,50,41,539.66,517.58,22.08,4.09,0.0,379,300,78,estagnacao,0.082
Teste03,50,42,562.3,517.58,44.72,7.95,0.0,390,300,89,estagnacao,0.081
Teste03,50,43,530.97,529.52,1.45,0.27,2.31,314,300,13,estagnacao,0.07
Teste03,50,44,527.34,515.3,12.04,2.28,-0.44,357,300,56,estagnacao,0.08
Teste03,50,45,535.97,515.3,20.67,3.86,-0.44,381,300,80,estagnacao,0.082
Teste03,50,46,515.3,515.3,0.0,0.0,-0.44,300,300,-1,estagnacao,0.067
Teste03,50,47,562.93,515.3,47.63,8.46,-0.44,562,300,261,estagnacao,0.115
Teste03,50,48,527.34,517.58,9.76,1.85,0.0,445,300,144,estagnacao,0.093
Teste03,100,39,527.75,517.58,10.17,1.93,0.0,309,300,8,estagnacao,0.075
Teste03,100,40,527.34,517.58,9.76,1.85,0.0,454,300,153,estagnacao,0.105
Teste03,100,41,515.3,515.3,0.0,0.0,-0.44,300,300,-1,estagnacao,0.077
Teste03,100,42,527.07,517.58,9.49,1.8,0.0,307,300,6,estagnacao,0.076
Teste03,100,43,515.3,515.3,0.0,0.0,-0.44,300,300,-1,estagnacao,0.08
Teste03,100,44,527.34,515.3,12.04,2.28,-0.44,315,300,14,estagnacao,0.084
Teste03,100,45,517.58,515.3,2.28,0.44,-0.44,321,300,20,estagnacao,0.083
Teste03,100,46,515.3,515.3,0.0,0.0,-0.44,300,300,-1,estagnacao,0.074
Teste03,100,47,527.34,517.58,9.76,1.85,0.0,349,300,48,estagnacao,0.083
Teste03,100,48,527.07,517.58,9.49,1.8,0.0,343,300,42,estagnacao,0.084
Teste04,50,39,1246.48,1204.58,41.9,3.36,3.59,378,300,77,estagnacao,0.165
Teste04,50,40,1277.28,1157.3,119.98,9.39,-0.47,503,300,202,estagnacao,0.21
Teste04,50,41,1291.1,1207.41,83.69,6.48,3.84,499,300,198,estagnacao,0.205
Teste04,50,42,1225.35,1200.44,24.91,2.03,3.24,893,300,592,estagnacao,0.35
Teste04,50,43,1231.92,1199.92,32.0,2.6,3.19,318,300,17,estagnacao,0.129
Teste04,50,44,1221.06,1175.09,45.97,3.76,1.06,569,300,268,estagnacao,0.235
Teste04,50,45,1269.96,1203.23,66.73,5.25,3.48,425,300,124,estagnacao,0.195
Teste04,50,46,1222.98,1176.54,46.44,3.8,1.18,616,300,315,estagnacao,0.242
Teste04,50,47,1259.52,1195.41,64.11,5.09,2.8,343,300,42,estagnacao,0.166
Teste04,50,48,1262.92,1204.39,58.53,4.63,3.58,320,300,19,estagnacao,0.125
Teste04,100,39,1222.15,1171.46,50.69,4.15,0.74,409,300,108,estagnacao,0.177
Teste04,100,40,1273.55,1165.46,108.09,8.49,0.23,509,300,208,estagnacao,0.203
Teste04,100,41,1242.02,1162.8,79.22,6.38,0.0,694,300,393,estagnacao,0.292
Teste04,100,42,1225.35,1165.46,59.89,4.89,0.23,797,300,496,estagnacao,0.328
